Set,Nro,Filename,FoundByAPI,Title,Artist,SpotifyId,Valence,Arousal
1,109,1_109,1,"Murder in Mississippi, Pt. 1",Trevor Jones,,-0.7,-0.35
1,259,1_259,1,The end,Zbigniew Preisner,5uqE33WfYioEgzHHVMaykl,-0.25,0.1675
1,9,1_009,1,Band Of Brothers Suite Two (Instrumental),The London Metropolitan Orchestra,3HsuGePtsXapInducQUZbB,0.25,0.25
1,310,1_310,1,Red Warrior,Hans Zimmer(한스 짐머),6DPZdDkTOydyM40IXRi70Z,-0.2,0.3
1,206,1_206,1,Finale,Danny Elfman,0KRVTyHMryzFllioVmdKcQ,-0.05,0.3
1,88,1_088,1,Sandra's Theme,Danny Elfman,3mgold6ewwxg2DqI4m2Tqv,0.2,-0.7
1,291,1_291,1,Mina Hinoo,Eric Serra,4fMXCy0AvoXP5eACdQRAUh,0.0,-0.625
2,39,2_039,1,A Plague on Both Your Houses (Instrumental),Nick Ingman,0kn66Q41zAgcYPKOfUtj4n,0.2975,-0.48
2,62,2_062,1,The Brawl (Instrumental),Nick Ingman,1C1VbtILZ2267QTQBBF29k,-0.38,0.145
1,194,1_194,1,Kiss,Wojciech Kilar,,0.2075,-0.5425
2,95,2_095,1,The Murder,Rachel Portman,2squzU7vwZfFbCQf6NyShd,-0.4975,0.32
1,164,1_164,1,Welcome to Annexia,Howard Shore,,-0.7,-0.15
1,95,1_095,1,The Boys Hide The Gun / Nicky Comes Clean,Mark Isham,5EG2LL6h0aM1io3UH0QCIK,-0.65,0.1
2,2,2_002,1,The Fight,Elmer Bernstein,,-0.625,0.8025
1,181,1_181,1,Photos / Beautiful Dreamer,Danny Elfman,0OtMg3uFH35nJ7NlZ4h5ce,0.4,-0.4
2,14,2_014,1,Alien: The Droid,Jerry Goldsmith,3byNU38Y2ePxxqxLv9kwmU,-0.6725,0.62
2,109,2_109,1,Marianelli: Darcy's Letter,English Chamber Orchestra,4Gdu01pgiJUyfFU14K8ftG,0.0925,-0.68
1,145,1_145,1,The Brawl (Instrumental),Nick Ingman,1C1VbtILZ2267QTQBBF29k,-0.5,-0.3325
1,82,1_082,1,Road To Perdition,Thomas Newman,1ybtJbR4ARqmjl6dD2VtYU,0.375,-0.5425
1,129,1_129,1,Dawn To Dusk; The Riderless Horse,James Horner,4SIq8XHZ6J5SKzeh7XcrHU,-0.55,0.05
2,69,2_069,1,Reunion,Christopher Young,,-0.66,0.5225
1,47,1_047,1,Return to Spectre,Danny Elfman,6jCRw4EqWPYsBiDWNM69DT,0.0,-0.5
1,184,1_184,0,Angels and Warriors,Martin Kiszko,,0.375,-0.3325
1,338,1_338,1,Lorna - Quiet Evening By The Fire,Michael Kamen,,0.2075,-0.5825
1,89,1_089,1,Simpatico - Misterioso (Naked Lunch ),Howard Shore,13okIKNnX12jDKp7hkAsHU,-0.0425,-0.7925
1,166,1_166,1,The End (Cape Fear/Soundtrack Version),Elmer Bernstein,2fnfaQTvaCS7eNA9DwtKdw,-0.7,-0.5
1,83,1_083,1,The Journey Home,Danny Elfman,2f83uQ1xery4UaW7EQ3Ywk,0.25,-0.1675
1,153,1_153,1,Ballad/Joan,Howard Shore,,-0.2925,-0.3325
1,63,1_063,1,Love On A Washing Machine,Mark Isham,3sSsY8qzHBn1uUDW9piqqM,0.2075,-0.75
1,148,1_148,1,"Lexington Hotel, Room 1432",Thomas Newman,1JZsYADzr3VHUQysKS6xZo,-0.375,-0.0825
2,40,2_040,1,Kip's Lights,Gabriel Yared,4Ptj9sSwP9a2I6fwD8A2Iw,0.145,-0.3325
1,345,1_345,1,"Crouching Tiger, Hidden Dragon",Tan Dun,5zO6zyBZd6zqdFBBDZKIds,0.05,-0.8
1,17,1_017,1,Wessex Loses a Bride (Instrumental),Nick Ingman,1QEKxYIYBJQrJ0HAR9SMh9,0.1675,-0.125
1,216,1_216,1,The Death of David Ferrie,John Williams,,-0.95,-0.15
1,19,1_019,1,The Growing Montage,Danny Elfman,3OuJqMg6QvtGOfwMq7rwUD,0.0,0.2075
1,302,1_302,1,The Demise of Mrs. Baylock,Jerry Goldsmith,28EbsK1OaE6OShc6Fs4Zf5,-1.0,0.1675
1,60,1_060,1,Hirschfelder: Goodnight Daddy,David Helfgott,1ImbUyYYX0q4DA7gaIeQQO,0.1675,-0.375
1,23,1_023,1,Pictures,Danny Elfman,06FJKYs7ai1DdYiwogQfyp,0.2075,-0.5425
1,268,1_268,0,Saunaan. Mene toki jo!,Leevi Madetoja,,-0.1675,-0.1675
2,23,2_023,1,Strip The Willow,John Camichael Band,,0.8175,0.885
1,322,1_322,1,Marianelli: Darcy's Letter,English Chamber Orchestra,4Gdu01pgiJUyfFU14K8ftG,-0.1,0.1
2,29,2_029,1,Flowers of Firenze,Wojciech Kilar,,0.5325,-0.35
2,42,2_042,1,"Dawn - From ""Pride & Prejudice"" Soundtrack",Dario Marianelli,7LRAg8a4Q5PrPHSGBfng22,0.6625,-0.26
2,26,2_026,1,Safari Park,Jerry Goldsmith,69BKdxUQYXeN17lflaHhVd,0.475,0.0625
1,91,1_091,1,"True Grit / ""Get Down!""",Mark Isham,,-0.9575,-0.125
1,347,1_347,1,The Eternal Vow,Yo-Yo Ma,0P6wItO0fOHgthplqmIdKi,-0.2,-0.65
1,336,1_336,1,Kicking Bird's Gift (Album Version),John Barry,4IHiFF9GwkGbDkCzN3t3kg,0.4,-0.4
1,128,1_128,1,Escape,James Horner,66kjmXZ7DrvsosPAq8hZUh,-0.5425,0.25
2,96,2_096,1,Dawn To Dusk; The Riderless Horse,James Horner,4SIq8XHZ6J5SKzeh7XcrHU,-0.3425,0.135
1,279,1_279,1,Surrendering,Tuomas Kantelinen,,0.1,-0.8
1,247,1_247,0,No kuinka on asiat?,Leevi Madetoja,,-0.3,0.3
2,65,2_065,1,Return to Spectre,Danny Elfman,6jCRw4EqWPYsBiDWNM69DT,-0.2325,0.01
1,337,1_337,1,Garrison Family Theme,John Williams,6nAhPJWikS62XwpN18IPWp,0.45,-0.35
2,11,2_011,1,Selina Transforms (Pt. I),Batman Returns Soundtrack/Danny Elfman,6ae3GGA3EgGGL5xbxYS6l5,-0.655,0.345
1,43,1_043,1,Preparing For Patrol (Instrumental),The London Metropolitan Orchestra,7eoTqPm13IJuSVYDVu4EhJ,0.0,-0.6
1,251,1_251,1,The Diva Dance (Fifth Element 1997),Eric Serra,,-0.65,0.25
1,284,1_284,0,Twilight Cellos,Wojciech Kilar,,0.05,-0.7
2,102,2_102,1,In Viola's Room (Instrumental),Nick Ingman,09a5cULcFqMI9oochnctr0,0.2525,-0.01
1,243,1_243,1,Batman vs. The Circus,Batman Returns Soundtrack/Danny Elfman,3qG7MYlKee5Jrtfd01aqX2,-0.5825,0.4175
2,93,2_093,1,"Chrysalis, Pt. 3",Christopher Franke,,-0.635,0.5625
2,43,2_043,1,Ride to Fort Hays,John Barry,04izlTTLR32hTnmYwxleMB,0.61,-0.3175
1,301,1_301,1,Red Warrior,Hans Zimmer(한스 짐머),6DPZdDkTOydyM40IXRi70Z,-0.75,0.35
1,305,1_305,1,The Motorcade,John Williams,6D1yCrOuRK85jtR45t7ES0,-0.7925,0.0425
1,96,1_096,1,Rape And Hospital (Cape Fear/Soundtrack Version),Elmer Bernstein,6dOqGnulWi6UiDuvZNA2Dx,-0.5425,-0.0825
1,65,1_065,1,Road To Perdition,Thomas Newman,1ybtJbR4ARqmjl6dD2VtYU,0.35,-0.45
1,352,1_352,1,Leeloominai,Eric Serra,3XQHBNceAI6VUYWjSb3Tgz,0.1,-0.6
1,111,1_111,1,Max,Elmer Bernstein,4fsdKDj2ONN8vTszskXQ42,-0.75,0.05
1,258,1_258,0,Slipstreams,Martin Kiszko,,0.1,0.2
1,138,1_138,1,Houseboat (Cape Fear/Soundtrack Version),Elmer Bernstein,0QFEgoUfv7wGisDhqfDJZ7,-0.65,0.2
1,328,1_328,1,Bloodmare,Trevor Jones,,-0.65,-0.25
1,257,1_257,1,Night Fight,Tan Dun,2AlZMciIbBmffJYDPjoLYO,-0.35,0.2
1,118,1_118,1,The Mission Begins (Instrumental),The London Metropolitan Orchestra,2WWSHQ15BKC0R81LNGLJ2G,-0.35,-0.75
1,317,1_317,1,Nightmare,Trevor Jones,,-0.5,-0.375
1,135,1_135,1,The Inquisition,Barrington Pheloung,,-0.75,-0.2075
1,303,1_303,1,In Love’s Name,Christopher Young,,-1.0,-0.0825
2,99,2_099,1,The Brides,Wojciech Kilar,6C8c7eCIHUUN8eSfFov2tC,-0.21,0.055
1,144,1_144,1,Frightened Sam,Elmer Bernstein,,-0.8325,-0.0825
1,344,1_344,1,Surrendering,Tuomas Kantelinen,,0.1,-0.7
1,263,1_263,1,Marianelli: Meryton Townhall,Jean-Yves Thibaudet,4StixlbjYJ3E28d9P74J1W,-0.1675,0.0825
2,110,2_110,1,Pictures,Danny Elfman,06FJKYs7ai1DdYiwogQfyp,0.4375,-0.275
1,80,1_080,1,The Family History,Barrington Pheloung,,0.125,-0.375
1,131,1_131,1,Hirschfelder: Your Father Your Family,David Helfgott,62cyY6WsINdng9V2S6tDBM,-0.65,0.0
1,172,1_172,1,Dirty Money,Thomas Newman,0O0YjABWgrLbVpdPshLaBc,0.25,0.25
1,212,1_212,1,Selina Transforms (Pt. I),Batman Returns Soundtrack/Danny Elfman,6ae3GGA3EgGGL5xbxYS6l5,-0.9575,0.1675
2,79,2_079,1,"Kitchen, Surgery, Face Off",Danny Elfman,0WD4mYaI8pjW595Jl8jYKp,0.5625,0.78
2,84,2_084,1,Dominique's Arrest,Zbigniew Preisner,2W6ZEmOYkIcvLa2s3hu7hn,0.0475,-0.5025
1,69,1_069,1,A Coward No Longer,James Horner,7HCVQPjwuuMYRJ8YLie7zi,0.1,-0.3
1,103,1_103,1,On The Rooftops,Ennio Morricone,3PE7cvIH25Z9CBqAgJkSI7,-0.65,0.25
2,56,2_056,1,"Street Scene (From ""How To Marry A Millionaire"")",The City of Prague Philharmonic Orchestra,3QcVEAF9peFroThj80UhtQ,0.4175,0.4375
1,87,1_087,1,A Retreat,Gabriel Yared,0oViIoYMuyUqep4yG4a29F,-0.05,-0.7
1,224,1_224,1,Casey Goes Down,James Newton Howard,52cqnmgPw5DQwot6Un9Pxm,-0.85,-0.1
1,73,1_073,1,"Zorro Theme / Madrid / Lolita / Finale (From ""The Mark of Zorro"")",The City of Prague Philharmonic Orchestra,7HfaApNNLzXwcMhf6FBjJQ,0.3,-0.45
1,326,1_326,1,The Altar,Jerry Goldsmith,43QCPxy2Hnj8a1d11soiJv,-0.85,0.25
1,277,1_277,1,A Way of Life,The Last Samurai,6DHYWelHYuynVVPv2m58wl,0.05,-0.8
1,108,1_108,1,Rape And Hospital (Cape Fear/Soundtrack Version),Elmer Bernstein,6dOqGnulWi6UiDuvZNA2Dx,-0.875,-0.0425
1,14,1_014,1,Hirschfelder: Scales to America,David Hirschfelder,6Vrffbt1FVwsVm3IoqaO6G,0.05,0.25
2,8,2_008,1,"Persecution / Finale (From ""Diary Of Anne Frank"")",The City of Prague Philharmonic Orchestra,,-0.25,0.3025
1,245,1_245,1,Cat Suite,Batman Returns Soundtrack/Danny Elfman,5Z3rmOueRIOeC4Om4XynFE,-0.4575,0.375
2,106,2_106,1,Lorna - Quiet Evening By The Fire,Michael Kamen,,0.5925,-0.3175
1,67,1_067,1,Band Of Brothers Suite Two (Instrumental),The London Metropolitan Orchestra,3HsuGePtsXapInducQUZbB,0.375,-0.4175
1,197,1_197,0,Leaving Sweden,Tuomas Kantelinen,,0.1675,-0.75
1,203,1_203,1,Coyotes,Don Edwards,6XNGY2L8NKjOPYUORFWPiI,0.0425,0.0425
1,84,1_084,1,Leaving Spectre,Danny Elfman,2szl0qFgsCU4I2m0nGNJQY,0.0425,-0.7925
1,142,1_142,0,Rescue and Breakout,James Horner,,-0.4575,0.25
2,38,2_038,1,Love Remembered (Album Version),Anton Coppola,4PmjolpLqJ9G14l2ORO06x,-0.0675,-0.5525
2,3,2_003,1,Futile Escape,James Horner,7wBhOLmtMKK70UlBbiX857,-0.52,0.8025
1,28,1_028,1,Rupert Bear,"Academy of St. Martin in the Fields, Gabriel Yared",,0.2925,-0.375
2,50,2_050,1,The Road to the Workhouse,Rachel Portman,5BfgyjhSObwav4Oi37s8BD,0.1925,-0.4325
2,20,2_020,1,"Street Scene (From ""How To Marry A Millionaire"")",The City of Prague Philharmonic Orchestra,3QcVEAF9peFroThj80UhtQ,-0.105,0.8325
1,86,1_086,1,Hirschfelder: Letters to Katharine,David Hirschfelder,54pM9uuRGBiECmyY0CT2MG,0.2,-0.4
1,130,1_130,1,"Lexington Hotel, Room 1432",Thomas Newman,1JZsYADzr3VHUQysKS6xZo,-0.6,0.05
1,249,1_249,1,Motaba River Valley,James Newton Howard,,-0.25,0.3
1,169,1_169,1,Rescue And Breakout,James Horner,5xZGJBQrDbZiUUVEpKt3H6,-0.7,0.25
1,121,1_121,1,The Fight,Elmer Bernstein,,-0.625,0.0425
